scenario,visit,spot,lat,lon,leg_km,cumulative_km,total_km,routes_evaluated,compute_seconds
Outlet-maintenance round,1,Annenberg Reading Room 2,34.02227,-118.28648,0.0,0.0,3.41747624236029,3628800,4.900204667000001
Outlet-maintenance round,2,Annenberg Reading Room 5,34.01805,-118.28428,0.5111753910820278,0.5111753910820278,3.41747624236029,3628800,4.900204667000001
Outlet-maintenance round,3,Doheny Reading Room 2,34.01658,-118.28011,0.4176478236772791,0.928823214759307,3.41747624236029,3628800,4.900204667000001
Outlet-maintenance round,4,SGM Lounge 3,34.01985,-118.28341,0.47404097499596226,1.4028641897552692,3.41747624236029,3628800,4.900204667000001
Outlet-maintenance round,5,Doheny 3rd Floor,34.0208,-118.28308,0.10992641847714661,1.5127906082324158,3.41747624236029,3628800,4.900204667000001
Outlet-maintenance round,6,Fertitta Reading Room 2,34.02093,-118.28406,0.09146846492761096,1.6042590731600268,3.41747624236029,3628800,4.900204667000001
Outlet-maintenance round,7,Tutor Center Basement 3,34.02202,-118.28386,0.12259620570745405,1.726855278867481,3.41747624236029,3628800,4.900204667000001
Outlet-maintenance round,8,Tutor Center Basement 5,34.02607,-118.28336,0.452691389419752,2.179546668287233,3.41747624236029,3628800,4.900204667000001
Outlet-maintenance round,9,Fertitta Atrium 4,34.02618,-118.28982,0.5954568736629452,2.775003541950178,3.41747624236029,3628800,4.900204667000001
Outlet-maintenance round,10,Leavey Lounge 2,34.02412,-118.28672,0.366179308203495,3.141182850153673,3.41747624236029,3628800,4.900204667000001
Outlet-maintenance round,11,Leavey 3rd Floor,34.0243,-118.28623,0.049394581867229594,3.1905774320209024,3.41747624236029,3628800,4.900204667000001
Outlet-maintenance round,12,Annenberg Reading Room 2,34.02227,-118.28648,0.22689881033938722,3.41747624236029,3.41747624236029,3628800,4.900204667000001
