scenario,visit,spot,lat,lon,leg_km,cumulative_km,total_km,routes_evaluated,compute_seconds
High-capacity audit,1,Annenberg Reading Room 2,34.02227,-118.28648,0.0,0.0,4.031879719463605,3628800,4.8975227089999995
High-capacity audit,2,Doheny Reading Room,34.02298,-118.2855,0.11995853898280529,0.11995853898280529,4.031879719463605,3628800,4.8975227089999995
High-capacity audit,3,Fertitta Atrium 7,34.02203,-118.28409,0.1674659755836834,0.28742451456648865,4.031879719463605,3628800,4.8975227089999995
High-capacity audit,4,SGM Reading Room 2,34.01999,-118.28064,0.39058101140757057,0.6780055259740592,4.031879719463605,3628800,4.8975227089999995
High-capacity audit,5,Tutor Center Basement,34.02504,-118.28104,0.5627439013507354,1.2407494273247945,4.031879719463605,3628800,4.8975227089999995
High-capacity audit,6,SGM Reading Room 4,34.02587,-118.27916,0.19630415520535224,1.4370535825301467,4.031879719463605,3628800,4.8975227089999995
High-capacity audit,7,Leavey Reading Room,34.0275,-118.28425,0.5028726980882462,1.9399262806183928,4.031879719463605,3628800,4.8975227089999995
High-capacity audit,8,Fertitta Lounge 3,34.02714,-118.28453,0.04762602384720651,1.9875523044655994,4.031879719463605,3628800,4.8975227089999995
High-capacity audit,9,Leavey Atrium 4,34.02516,-118.28933,0.4941131567511315,2.481665461216731,4.031879719463605,3628800,4.8975227089999995
High-capacity audit,10,Fertitta Lounge,34.01734,-118.29055,0.8767848088074287,3.35845027002416,4.031879719463605,3628800,4.8975227089999995
High-capacity audit,11,Leavey Courtyard,34.02068,-118.2885,0.4166878794643785,3.7751381494885385,4.031879719463605,3628800,4.8975227089999995
High-capacity audit,12,Annenberg Reading Room 2,34.02227,-118.28648,0.2567415699750664,4.031879719463605,4.031879719463605,3628800,4.8975227089999995
